new,host,status_code,soa,txt,a,ns,aaaa,cdn,cdn-name,mx,cname,caa,has_internal_ips,internal_ips
,bcrs3.de.ibm.com,NOERROR,"asia3.akam.net, hostmaster.akamai.com",,,,,,,,,,,
,bcrsavmrcon-nat.rny.smbdi.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,bcrsctx02-nat.rny.smbdi.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,bcrsctxds01-nat.rny.smbdi.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,bcrsdevlab.raleigh.ibm.com,NOERROR,"asia3.akam.net, dnsteam.us.ibm.com",,63.88.53.230,,,,,,,,,
,bcrshprv01-nat.rny.smbdi.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
,bcs-slack.us-south.ibm-blockchain-5-prod.cloud.ibm.com,NOERROR,"ns005.name.cloud.ibm.com, dns.cloudflare.com",,"169.46.89.151, 169.47.124.23, 169.62.254.80",,,,,,"secure.us-south.bluemix.net, custom-domain.us-south.cf.cloud.ibm.com",,,
,bdademo.sl.edst.ibm.com,NOERROR,"ns1.softlayer.com, aamorris.us.ibm.com",,,,,,,,,,,
,be.ibm.com,NOERROR,"eur5.akam.net, ddidns.emea.att.com","atlassian-domain-verification=a32Aj0uoXQRh6QseDFFrlufYlkbeSdok7az3sY0DQNVXpW1Iqj8zlsuXFZgHMojH, amazonses:IKVbSsjTob/CGCHVdF2qfWJxh45w8cmRrlfCWe99mVQ=, v=spf1 ip4:148.163.158.5 ip4:148.163.156.1 ip4:195.212.29.128/26 ip4:194.196.100.160/27 ip4:195.75.94.96/27 ~all",,,,,,"mx0b-001b2d01.pphosted.com, mx0a-001b2d01.pphosted.com",,,,
,beeblebrox-gw.ca.analytics.ibm.com,NOERROR,"ns1.softlayer.com, support.softlayer.com",,169.45.225.70,,,,,,,,,
,bejgsa.ibm.com,NOERROR,"asia3.akam.net, dnsadm.us.ibm.com",atlassian-domain-verification=WAjTH82C5Zx475WLKAA2nrdlsoA/kN0ej9igrLrED4h15KMHPOm+A5H3GndKAxDC,,,,,,,,,,
